ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
CHL,2016,0.702689929,0.701943404,10.05434009681252,87.6306290578181,33.62,80.27850000000001,2.9
CHL,2017,0.700470996,0.703707838,10.098035057194872,87.8000295757281,33.862,80.592,2.9
CHL,2018,0.714772443,0.703659016,10.138760853934675,87.9620493753008,34.079,80.5495,3.0
CHL,2019,0.716978367,0.7127502579999999,10.150806815141303,88.1273685623538,34.328,80.3235,3.0
CHL,2020,0.6831049779999999,0.724609793,10.14056807188286,87.7,35.4,80.25,3.0
CHL,2021,0.682520802,0.710577107,10.27814461086854,88.4660511664452,35.107,78.917,2.8
CHL,2022,0.683609589,0.7103739829999999,10.339546560882413,88.6395352768685,35.526,79.197,2.8
CHL,2023,0.707252118,0.6874073299999999,10.408659329952858,88.8158617217972,35.969,81.162,2.8
CHL,2024,0.7009347749999999,0.702378516,10.496293726845632,88.9950908479196,,81.34094999999999,2.7
CHL,2025,,,10.144814368478071,89.456,37.7,82.35,2.5
CHN,2015,0.587221982,0.365688789,9.507725206354598,55.5,36.4,77.6,4.081731680945691
CHN,2016,0.619022563,0.4597301249999999,9.557982245215188,58.8399238586426,35.985,77.3135,4.0
CHN,2017,0.6259393259999999,0.468579481,9.617300175025264,60.2402687072754,36.279,77.359,3.7
CHN,2018,0.616672656,0.4643485949999999,9.698810261830149,61.5001983642578,36.621,77.8035,3.6
CHN,2019,0.6438070189999999,0.468505275,9.775704790930162,62.7099151611328,37.026,78.025,3.6
CHN,2020,0.6237490539999999,0.48929991,9.81287761825795,61.4,38.2,78.5,3.6
CHN,2021,0.643085821,0.489819814,9.944787728776689,64.721076965332,38.007,78.19900000000001,3.5
CHN,2022,0.616310064,0.487299338,10.044647501032763,65.2176361083984,38.534,78.3,3.5
CHN,2023,0.664607065,0.501587695,10.133770331078736,65.5301448035523,39.066,78.0635,3.3
CHN,2024,0.687581244,0.49649869,10.20746870539803,65.8946980998325,,78.1077,3.2
CHN,2025,,,9.669968113138443,65.897,40.6,79.3,3.3
CIV,2015,0.365513842,0.330892491,,,,,7.128870226105154
CIV,2016,0.394727587,0.383125896,,,,,7.6
CIV,2017,0.397545161,0.3844403,,,,,7.5
CIV,2018,0.41464396,0.380747455,,,,,7.2
CIV,2019,0.418297433,0.3712478189999999,,,,,7.1
CIV,2020,0.418599477,0.380109482,,,,,7.0
CIV,2021,0.4160685259999999,0.388093512,,,,,6.8
CIV,2022,0.444409236,0.4035926579999999,,,,,6.8
CIV,2023,0.451473715,0.405339482,,,,,6.6
CIV,2024,0.452016572,0.420850347,,,,,6.6
CIV,2025,,,,,,,6.5
CMR,2015,0.34688865,0.183091704,8.159849645624401,54.6,18.2,60.75,7.17206353525359
CMR,2016,0.394310532,0.249683741,8.196160951878909,52.9815033836792,17.249,60.3195,6.0
CMR,2017,0.391860216,0.244152459,8.23414854382551,53.3115142121504,17.284,60.8455,6.0
CMR,2018,0.381570168,0.252599595,8.296736926285776,53.6339873660653,17.32,61.2225,5.9
CMR,2019,0.369914062,0.249071192,8.352580718857677,53.9487914119331,17.374,61.727,5.9
CMR,2020,0.352575226,0.264452349,8.381475877985874,57.6,18.5,61.0,6.0
CMR,2021,0.360242139,0.252724202,8.475027853764896,54.5548664463635,17.521,61.184,6.0
CMR,2022,0.360896547,0.253807225,8.554291944931832,54.8458745688318,17.623,62.48,6.1
CMR,2023,0.361993871,0.250542347,8.596146546460856,55.1286878511388,17.752,63.733,5.9
CMR,2024,0.35769927,0.230734123,8.628553236403897,55.4031748609078,,64.00155,5.9
CMR,2025,,,8.288050029055498,62.749,19.1,62.5,6.8
COG,2015,0.29625751,0.155045696,8.458532681579362,65.5,19.2,63.5,7.657234916261749
COG,2016,0.355456286,0.22152892,8.298053883720474,63.2515316469123,18.144,,7.5
COG,2017,0.34452266,0.214502638,8.39945393028734,63.3544545340423,18.095,,7.3
COG,2018,0.323426501,0.201366895,8.629305727832953,63.4434577481975,18.062,,7.3
COG,2019,0.330230392,0.175994637,8.65165411223755,63.5176376123385,18.051,,7.3
COG,2020,0.28522118,0.201187109,8.47030376419386,67.8,19.1,64.1,7.4
COG,2021,0.282100045,0.206671169,8.742448369744235,63.6179125824196,18.125,,7.3
COG,2022,0.293419712,0.202483782,8.801995644337653,63.6422003342807,18.202,,7.6
COG,2023,0.286504582,0.194276913,8.832044471487203,63.6626757615625,18.308,,7.5
COG,2024,0.29745211,0.190396064,8.857424387547892,63.8866111699904,,66.0208,7.5
COG,2025,,,8.172120734931518,72.233,19.7,65.3,7.2
COL,2015,0.496885964,0.361985604,9.497926602696875,79.8,29.3,76.65,4.273443431768691
COL,2016,0.491031212,0.403758051,9.54872791559004,77.2036266362166,28.985,76.24199999999999,4.2
COL,2017,0.484448128,0.395383299,9.575026122497585,77.2245191706503,29.371,76.4285,4.1
COL,2018,0.491252583,0.41405998,9.63163978312583,77.2804816598084,29.727,76.59,4.0
COL,2019,0.49905261,0.423435637,9.691629510813886,77.4595528518377,30.084,76.80099999999999,4.0
COL,2020,0.497272276,0.426636046,9.649833901299534,81.4,31.3,75.5,3.8
COL,2021,0.507221373,0.423947687,9.763253183522774,77.8339570326128,30.803,72.8185,3.7
COL,2022,0.5137124869999999,0.426648919,9.94530119916664,78.0464633137335,31.181,76.5155,3.7
COL,2023,0.50521407,0.416000941,9.963941631317754,78.275571579544,31.606,77.701,3.6
COL,2024,0.491802654,0.4190949,10.014556384516782,78.5210811866115,,77.88625,3.5
COL,2025,,,9.695882899915349,82.272,33.4,78.65,3.1
COM,2015,0.194563076,0.264967484,7.989381932522697,28.5,19.5,63.65,7.120705545791076
COM,2016,0.250229682,0.30375307,8.051675997421892,30.7305018169792,18.861,64.8575,7.1
COM,2017,0.261499223,0.2874004,8.115956091663188,31.0996559689293,19.01,65.1945,7.0
COM,2018,0.25801886,0.271369084,8.094381304234235,31.4073645195839,19.224,65.4735,6.7
COM,2019,0.252242139,0.221531127,8.099571293311225,31.7287584068243,19.457,65.73750000000001,6.7
COM,2020,0.246076926,0.210871975,8.08483572858609,29.4,20.8,64.1,7.0
COM,2021,0.211626478,0.193385253,8.12500510769178,32.4124444313246,19.885,65.288,7.1
COM,2022,0.245701015,0.207877038,8.200186443985155,32.7746035528748,20.102,66.56200000000001,7.1
COM,2023,0.270562994,0.245196456,8.245817667930787,33.1502180946901,20.331,66.85900000000001,7.1
COM,2024,0.278404845,0.247636371,8.283628601177156,33.5392215673301,,67.1069,7.1
COM,2025,,,8.137410518725025,35.004,21.3,65.35,7.2
CPV,2015,0.534289761,0.64956197,8.82077127020275,64.3,24.5,75.65,4.826021621258167
CPV,2016,0.569759272,0.651886737,8.902558115831056,68.0354078358316,24.717,,4.3
CPV,2017,0.5755115319999999,0.6421138809999999,8.979134628706989,69.1999988159713,25.191,,4.1
CPV,2018,0.580567541,0.655147284,8.97669450809422,70.3970748844677,25.626,,3.9
CPV,2019,0.5880599059999999,0.658582393,9.06482389788587,71.6254285086577,26.018,,4.0
CPV,2020,0.590207517,0.640534049,8.832380021007923,66.7,26.8,75.44999999999999,3.9
CPV,2021,0.567353988,0.66023554,8.94708020411884,74.1607930892827,26.784,,3.8
CPV,2022,0.5834056099999999,0.65187026,9.15705281184152,75.033738060849,27.322,,3.8
CPV,2023,0.583728361,0.6530161939999999,9.234267150036104,75.9064245753376,27.87,,3.8
CPV,2024,0.594135423,0.668974053,9.323233295503911,76.7721471004354,,76.2087,3.7
