iso3,year,cdd,rx1day,rx5day,warm_days,warm_nights,wsdi,conflict_probability,hazard,conflict_probability_lag1
MYS,2020,-7.869090909090909,2.5081194666666704,4.489933833333339,18.28614,33.830105,4.472727272727273,0.10005,3.8,0.0873375
MYS,2021,-4.996363636363636,-2.8673505333333296,-4.548271166666666,13.170609,19.257784,3.4727272727272727,0.10805,3.4,0.10005
MYS,2022,2.712727272727273,-1.5155395333333246,-8.837511166666658,23.935244,31.770859,17.072727272727274,0.115975,3.1,0.10805
MYS,2023,2.9490909090909074,0.5236964666666708,3.580488833333334,29.613947,50.15691,30.12727272727273,0.1230499999999999,3.0,0.115975
MYS,2024,-0.4327272727272717,2.984132466666672,7.76693383333334,29.592648,41.82315,35.163636363636364,0.125625,2.6,0.1230499999999999
MYS,2025,14.112727272727271,-5.164000533333329,-8.848321166666665,59.377335,68.81693,136.03636363636363,0.12885,2.7,0.125625
NAM,2018,-2.445138888888877,-1.8505088,-6.236273633333326,20.513699,20.669712,28.53472222222222,0.012025,2.3,0.0086875
NAM,2019,30.874305555555537,0.2649141999999997,-1.6357776333333334,31.033104,39.64612,62.55555555555556,0.0128875,2.5,0.012025
NAM,2020,16.978472222222223,-1.5090918000000002,-5.529187633333336,23.055176,21.076199,42.40277777777778,0.0153125,2.4,0.0128875
NAM,2021,37.77708333333334,2.220931199999999,4.480222366666666,19.96385,19.031582,32.1875,0.0173875,2.5,0.0153125
NAM,2022,-17.215972222222234,6.2106742,2.7080623666666668,11.166286,17.165144,13.770833333333334,0.021375,2.5,0.0173875
NAM,2023,7.804861111111123,-4.1930558,-22.86952463333333,34.387367,27.840563,76.22916666666667,0.01925,2.7,0.021375
NAM,2024,-11.264583333333364,2.918914199999996,7.666752366666671,19.12189,28.187614,29.49305555555556,0.0212875,2.3,0.01925
NAM,2025,11.902083333333335,1.8223342,1.878282366666668,20.974125,31.386986,31.80555555555556,0.0212625,2.6,0.0212875
NGA,2018,-27.6771014676676,6.434005066666671,13.338080933333336,18.197548,32.105263,22.96710526315789,0.8964,6.9,0.930225
NGA,2019,-30.913943572930748,2.631002066666671,4.549990933333341,28.718458,48.752705,50.875,0.8684125,8.0,0.8964
NGA,2020,5.118951163911362,4.2078330666666695,13.81785093333334,13.177668,16.415014,7.006578947368421,0.8439875000000001,8.3,0.8684125
NGA,2021,-15.894206730825488,2.5836290666666706,2.15490093333333,15.85977,24.333094,19.164473684210527,0.820325,7.2,0.8439875000000001
NGA,2022,-4.256048836088638,4.82666106666667,9.740030933333337,15.83814,28.58868,9.44078947368421,0.8075875,7.3,0.820325
NGA,2023,-12.413943572930748,12.712063066666673,22.56344093333333,14.558399,24.502523,16.335526315789473,0.7955500000000001,7.3,0.8075875
NGA,2024,-8.163943572930748,15.063673066666668,29.336910933333336,14.953625,31.616695,12.342105263157896,0.784525,7.4,0.7955500000000001
NGA,2025,-26.42052252029916,8.326335066666672,14.849170933333331,30.648884,49.188896,59.151315789473685,0.77335,7.8,0.784525
NIC,2018,-21.99090909090909,12.922842566666668,32.3561486,38.03238,44.669987,85.72727272727273,0.0281875,5.0,0.01745
NIC,2019,-16.76363636363636,3.790692566666664,-1.1840114000000028,46.762142,61.021168,114.45454545454544,0.0356625,4.9,0.0281875
NIC,2020,-10.036363636363632,-2.882446433333336,-10.468701400000016,23.584204,34.153004,33.36363636363637,0.044875,7.4,0.0356625
NIC,2021,5.463636363636368,-3.026254433333335,-19.777151400000008,30.323786,31.195518,40.36363636363637,0.051425,5.3,0.044875
NIC,2022,-9.4,1.7081755666666645,-5.318101400000003,33.038605,45.716064,51.40909090909091,0.0567875,4.8,0.051425
NIC,2023,14.463636363636368,0.912797566666665,-8.374431400000006,41.718555,43.32503,99.04545454545456,0.0579,4.2,0.0567875
NIC,2024,14.009090909090917,4.847842566666664,0.1821085999999923,33.830105,46.06309,57.68181818181818,0.0633625,3.5,0.0579
NIC,2025,-0.9454545454545382,-0.0401274333333354,-13.95579140000001,63.74844,74.62017,164.22727272727272,0.0661875,4.4,0.0633625
NLD,2018,-5.626666666666667,-0.9897777000000012,1.2847533999999996,17.260273,19.09589,18.0,0.01475,1.0,0.010225
NLD,2019,-5.726666666666667,4.323901299999999,12.0480794,22.684933,28.465754,31.6,0.024075,1.0,0.01475
NLD,2020,-2.926666666666666,5.0573853,23.5170534,20.081966,21.338797,19.3,0.0244749999999999,1.0,0.024075
NLD,2021,-4.326666666666666,12.080761300000002,6.953189399999999,14.657535,17.671232,20.1,0.0296625,1.0,0.0244749999999999
NLD,2022,1.3733333333333348,9.308812299999996,22.1722294,21.123287,23.835617,23.8,0.0293375,1.0,0.0296625
NLD,2023,-4.926666666666666,8.138676299999997,2.8409513999999945,29.780823,29.397259,48.0,0.0313875,1.1,0.0293375
NLD,2024,-4.626666666666667,5.327774299999998,4.693369399999995,21.666668,24.07104,18.5,0.0343625,2.9,0.0313875
NLD,2025,-0.5266666666666673,0.9100922999999989,5.953016399999996,23.315067,26.30137,23.0,0.0359875,3.0,0.0343625
NPL,2018,1.4530864197530846,11.490831833333338,18.72625850000003,12.2983265,24.515474,9.37037037037037,0.0902125,5.4,0.0587624999999999
NPL,2019,-9.213580246913589,-0.4549511666666674,19.69828850000001,28.219177,37.27042,51.407407407407405,0.1168875,5.2,0.0902125
NPL,2020,-12.176543209876543,3.087571833333336,7.36695850000001,17.182756,21.2204,22.814814814814813,0.13765,5.7,0.1168875
NPL,2021,32.63827160493827,4.187451833333334,19.151398500000028,26.463724,37.02689,65.92592592592592,0.167575,5.7,0.13765
NPL,2022,-5.76913580246913,-2.045523166666669,-9.703891499999967,11.456114,16.45865,10.814814814814817,0.1772375,5.0,0.167575
NPL,2023,-7.954320987654327,32.389911833333336,55.92466850000002,14.429224,20.507357,10.962962962962964,0.199675,3.6,0.1772375
NPL,2024,30.60123456790123,20.267327833333333,65.07523850000001,25.237806,35.691154,39.851851851851855,0.2095375,3.2,0.199675
NPL,2025,-6.361728395061732,6.358391833333336,26.618998500000032,19.533232,32.267883,31.59259259259259,0.2212,3.4,0.2095375
NZL,2018,-0.8074074074074051,-4.720894533333329,-5.47719873333331,12.020004,11.4677105,5.857142857142857,0.005825,3.0,0.0064125
NZL,2019,2.2402116402116423,-1.6123005333333325,-14.402173733333314,21.778648,16.916721,15.634920634920634,0.011175,3.1,0.005825
NZL,2020,-0.0772486772486757,-3.5250845333333274,-8.528788733333315,28.129065,21.506636,28.047619047619047,0.0099625,2.5,0.011175
NZL,2021,1.8592592592592592,4.477205466666668,16.69868726666668,13.315938,15.333768,5.190476190476191,0.0105875,2.5,0.0099625
NZL,2022,-0.6962962962962944,-1.83624953333333,-0.5331247333333096,19.178083,17.12981,14.603174603174605,0.0116625,2.5,0.0105875
NZL,2023,-0.8391534391534368,8.05710546666667,10.922071266666675,21.917809,19.22592,21.63492063492064,0.014475,2.5,0.0116625
NZL,2024,-2.712169312169312,3.4185184666666686,-3.8959087333333136,15.88169,15.339579,10.873015873015872,0.0144,2.1,0.014475
NZL,2025,2.716402116402117,-5.2647395333333264,-9.674838733333315,14.281365,10.484888,7.761904761904762,0.0153625,2.3,0.0144
PAK,2018,-20.841793831919983,5.865917366666668,9.043638333333334,14.490661,23.453716,19.44848484848485,0.93205,9.0,0.955725
PAK,2019,-40.19936958949575,-1.6847056333333337,3.700190333333332,24.75218,28.250729,51.16969696969697,0.9106375,7.6,0.93205
PAK,2020,23.218812228686065,3.363775366666665,14.967538333333335,26.506042,21.780096,58.13939393939394,0.8937999999999999,7.7,0.9106375
PAK,2021,100.02487283474667,4.357618366666667,12.391398333333337,29.454546,26.044,78.71515151515152,0.8786375,7.2,0.8937999999999999
PAK,2022,-4.9827493998694194,-7.488690633333334,-5.37274166666667,17.532587,20.689083,27.89090909090909,0.8636875,6.8,0.8786375
PAK,2023,2.467297077170912,-2.461139633333332,8.056188333333331,19.028643,21.047737,29.83636363636364,0.843,7.2,0.8636875
PAK,2024,24.80669101656485,5.761690366666667,11.09674833333333,29.180326,30.220236,63.24848484848485,0.837675,7.2,0.843
PAK,2025,-50.4539150440412,11.817576366666664,14.007495333333331,19.226236,34.251556,42.04848484848485,0.8289624999999999,8.4,0.837675
